id,Running time,Actors Box Office %,Director Box Office %,Oscar and Golden Globes nominations,Oscar and Golden Globes awards,Release year,IMDb score,genre_encoded,AdjBudget,AdjEarnings,AdjBoxOffice,Director_mean_target
197,102,16.67,0.0,0,0.0,1999,5.2,0,48981020.40816327,-34574837.93517407,14406182.472989198,6.255744520030234
198,96,20.0,25.0,0,0.0,2009,6.3,7,12305928.581083914,3356162.3402956133,15662090.921379527,6.670496346686822
199,99,55.55,50.0,0,0.0,2004,5.2,4,76233033.35097936,110537898.35892007,186770931.70989943,6.1763524457402
200,109,66.67,50.0,0,0.0,2009,5.9,0,44748831.20394151,-1118720.7800985377,43630110.423842974,6.221315192743765
201,108,51.11,0.0,0,0.0,2002,6.2,5,80046803.7798777,-41357515.28627015,38689288.49360756,6.214940791131267
202,111,38.88,20.0,0,0.0,1996,6.2,12,61187253.02740599,-30134722.115997452,31052530.91140854,6.3034467120181406
203,114,88.89,75.0,0,0.0,1998,6.7,7,80983957.05521472,210558288.34355828,291542245.398773,6.3482741244645995
204,106,75.55,85.71,0,0.0,2010,5.8,0,137583350.1485857,405045382.83743626,542628732.986022,6.51120559334845
205,141,83.33,66.67,0,0.0,1994,6.9,0,100407786.77462889,247780506.07287455,348188292.8475034,6.659604794298671
206,102,66.67,41.66,0,0.0,1994,7.8,4,372480.49932523625,4728882.860998651,5101363.360323887,6.537321595304788
207,107,79.62,71.42,0,0.0,2006,6.4,4,83335763.8888889,198815322.42063493,282151086.3095238,6.2576788291074
208,124,27.77,20.0,0,0.0,1993,6.4,0,116266366.78200693,23253273.356401384,139519640.1384083,5.92672335600907
209,172,53.88,50.0,0,0.0,2012,7.5,11,106626105.21180867,29269911.234614145,135896016.44642282,6.8482741244645995
210,95,66.67,100.0,0,0.0,2013,6.5,2,80360521.46962745,201931566.7698331,282292088.2394605,6.4724111866969
211,97,66.67,50.0,0,0.0,1995,6.8,4,18898188.976377953,119688530.18372703,138586719.16010496,6.303829680020155
212,136,55.55,100.0,0,0.0,2005,7.2,7,36867434.71582181,57390306.707629286,94257741.4234511,6.541808390022675
213,108,16.67,50.0,0,0.0,2002,5.5,0,113399638.68816009,-9338793.774319066,104060844.91384102,6.481607457797933
214,120,55.55,33.33,0,0.0,2004,7.6,5,82585786.13022764,44469269.454737954,127055055.58496559,6.803133374561946
215,112,16.67,66.67,0,0.0,2011,6.4,0,42679481.99289586,22406728.046270322,65086210.039166175,6.3793083900226755
216,123,91.67,50.0,0,0.0,1997,6.8,0,112152803.73831776,222810236.7601246,334963040.49844235,6.194959009244723
217,129,77.0,75.0,0,0.0,1982,6.9,1,49742383.41968913,121868839.37823835,171611222.79792747,6.470496346686823
218,123,50.0,0.0,0,0.0,2015,7.1,3,35441529.51054144,25315378.221815314,60756907.73235676,6.5724111866969
219,109,66.67,50.0,0,0.0,1995,5.0,0,78742454.06824146,160634606.29921257,239377060.36745405,6.4482741244646
220,135,16.67,50.0,0,0.0,1997,6.7,0,112152803.73831776,92712984.42367601,204865788.16199377,6.719674536481259
221,106,100.0,68.75,0,0.0,2011,6.6,12,64019222.98934378,80024028.73667973,144043251.7260235,6.649260339056257
222,109,79.38,100.0,0,0.0,2012,6.5,0,26133849.316619772,74220132.05920015,100353981.37581992,6.579308390022675
223,122,38.88,66.67,0,0.0,2007,7.7,3,7408266.53548244,3009608.280039741,10417874.81552218,6.641808390022675
224,107,66.67,41.66,0,0.0,2010,5.6,0,40724671.64398137,23114002.824962396,63838674.46894376,6.537321595304788
225,100,100.0,50.0,0,0.0,2009,7.7,2,67123246.80591226,71598129.92630641,138721376.73221868,6.390638160025914
